"File","Field","Index","Speakers","Japanese","Speakers (E)","English"
"0003.dat","line","12","0 [ルカ]","え…………
「きっと」？　「なんじゃないかな」？
「必ず」じゃないの？","0 [Ruca]","You “bet”...? So you’re not 
really sure about it?
"
"0003.dat","line","17","1 [イリア]","しょーがないでしょ
他に　手がかりないんだから
じゃ　こう言ってあげる","1 [Illia]","Do you think we have a choice?
That’s the only lead we have!
Fine, then how about this?"
"0003.dat","line","21","1 [イリア]","「絶対　その人は転生者よ！」　…たぶん","1 [Illia]","They’re “definitely” a Reincarnator... maybe."
"0003.dat","line","25","1 [イリア]","とにかく　他に手がかりないしさ
万が一　仲間だったら　儲け物じゃない","1 [Illia]","Anyways we don’t have any more clues,
and if, by any chance, they’re an ally then 
that’s a win for us!"
"0003.dat","line","30","0 [ルカ]","「たぶん」？　「万が一」？
え～と　どんどん
確率が減ってるっぽいんだけど…","0 [Ruca]","“Maybe?” “by any chance?”
It seems less likely the way 
you say it so carelessly..."
"0003.dat","line","36","1 [イリア]","あんた　細かいこと気にしすぎ！
ほら　さっさと行くわよ
目的地は　とにかく南！　いいわね","1 [Illia]","You’re worrying about it too much!
Let’s hurry up and go. Our next 
stop is south! Got that?"
"0003.dat","line","45","0 [ルカ]","ふふふ　でも　なんだか楽しいな
前世の縁で　こんなにカワイイ
女の子と　知り合えるなんて","0 [Ruca]","Uncertainty aside, I think it’s kind of
nice that I managed to meet such
a pretty girl because of my past life."
"0003.dat","line","48","0 [ルカ]","それに…　この僕に
仲間がいるかもしれないなんて…","0 [Ruca]","And there may be others too...!"
"0003.dat","line","54","2 [コーダ]","なんだ　ルカ
ずいぶん嬉しそうだな　しかし
なんかヘンなことでも　考えているのか？","2 [Coda]","What is it, Ruca? You look quite happy.
Were you thinking of something weird?"
"0003.dat","line","59","0 [ルカ]","な…　なんでもないよ　言われただろ
目的地は　とにかく南！
ほら　行こう","0 [Ruca]","It-It’s nothing! Illia said so earlier, right?
Our current goal is south! Let’s go.
"
"0004.dat","title","662","","なし","","None"
"0004.dat","speaker","0","","ルカ","","Ruca"
"0004.dat","speaker","1","","イリア","","Illia"
"0004.dat","speaker","2","","コーダ","","Coda"
"0004.dat","line","0","0 [ルカ]","ねえ　イリアぁ…　これから僕たち
なにをされるんだろ　想像しただけで
ほら　怖くて体が震えるんだ","0 [Ruca]","I wonder what they’re going to do to us? 
Just the thought of it makes me shiver."
"0004.dat","line","3","1 [イリア]","バカねぇ
じゃあ　想像しなきゃいいじゃない","1 [Illia]","Dumbass, just stop thinking about it."
"0004.dat","line","6","0 [ルカ]","そりゃあ　口で言うのは　簡単だけどさ
イリアは平気なの？
怖くないの？","0 [Ruca]","That’s easier said than done.
How about you, aren’t you scared?"
"0004.dat","line","10","1 [イリア]","まあ　無事じゃ済まないかもとは
常々　思ってるけど
ここまでの状況は　予想外だったかな～","1 [Illia]","Well, I’ve had some close calls up till now,
but to think that it’d come to this..."
"0004.dat","line","13","0 [ルカ]","僕　無事じゃいられないなんて
考えもしなかったよ…","0 [Ruca]","You know, I never thought I’d 
be in danger up till now..."
"0004.dat","line","17","1 [イリア]","ねえ　あんた
ひょっとして　後悔してる？
あたしに　ついて来たこと","1 [Illia]","Say, do you regret coming with me?"
"0004.dat","line","21","0 [ルカ]","そ…　そんな！！
僕は　ただ…","0 [Ruca]","N-No! I’m just--"
"0004.dat","line","26","1 [イリア]","あ～　やっぱりいいや！
今は　なにも言わないで　ちょうだい
あんたの答え　聞くの怖いし…","1 [Illia]","Stop, just... forget it. Don’t say anymore.
I-I’m scared of knowing what you’re 
gonna say..."
"0004.dat","line","29","1 [イリア]","あんたの怯えた目を見ると　こんな旅に
巻き込んじゃった　自分が許せなくなりそう
…だから　そんな顔　禁止ね","1 [Illia]","Every time I see you look so scared, I start to 
hate myself for getting you involved in this.
that’s why... Please don’t make that expression."
"0004.dat","line","32","2 [コーダ]","イリア　泣くか？","2 [Coda]","Illia, you gonna cry?
"
"0004.dat","line","36","1 [イリア]","………","1 [Illia]","..."
"0004.dat","line","41","0 [ルカ]","うん　わかったよ　イリア
大丈夫だよ！
きっと逃げ出す　機会はあるよ！","0 [Ruca]","Okay, Illia. I’m sure it’ll be alright!
We’ll get the chance to escape eventually!"
"0004.dat","line","45","1 [イリア]","あったりまえじゃない！
絶対　諦めたりするもんですか","1 [Illia]","Ain’t that obvious! As if 
we’ll give up so easily!"
"0004.dat","line","49","0 [ルカ]","ああ当然さ！　見てやがれ！
え…　え～っと　ジャ…　ジャマするヤツは
ぶっ飛ばしてやるぜッ！！","0 [Ruca]","Of course! Just wait and see! Uhh... 
A-Anyone who tries to get in our 
way will be blown away!"
"0004.dat","line","54","1 [イリア]","ん～　…そこまでムリしてくれなくて
別に　いいんだけど…","1 [Illia]","Oh it’s fine. You don’t have to 
force yourself to act that way..."
"0004.dat","line","60","0 [ルカ]","ちぇ…　元気づけようとすると
これだもんな　トホホ…","0 [Ruca]","Boo... After I tried so 
hard to cheer you up..."
"0005.dat","title","663","","なし","","None"
"0005.dat","speaker","0","","ルカ","","Ruca"
"0005.dat","speaker","1","","スパーダ","","Spada"
"0005.dat","line","0","0 [ルカ]","あ…　あのぅ…","0 [Ruca]","U-Uhmm..."
"0005.dat","line_speaker","3","","？？？","","???"
"0005.dat","line","3","1 [スパーダ]","ああ？　なんだぁ？
やろうってのか！？","1 [Spada]","What’s up with you? 
You pickin’ a fight?"
"0005.dat","line","7","0 [ルカ]","し…　しまった…
僕の苦手なタイプだ…","0 [Ruca]","Oh no... I’m bad with 
these types of people."
"0005.dat","line_speaker","11","","？？？","","???"
"0005.dat","line","11","1 [スパーダ]","なんだよ
自分から　話しかけといて
ダンマリか　ああ？","1 [Spada]","Hey, I’m talkin’ to you.
You a quiet type or somethin’?"
"0005.dat","line","14","0 [ルカ]","は…　はい
すみません…","0 [Ruca]","Y-Yes. Sorry..."
"0005.dat","line_speaker","18","","？？？","","???"
"0005.dat","line","18","1 [スパーダ]","オレの名は　スパーダ
スパーダ・ベルフォルマだ","1 [Spada]","The name’s Spada.
Spada Belforma."
"0005.dat","line","21","0 [ルカ]","あ　あの…　僕　ルカです
ルカ・ミルダ…　と申します","0 [Ruca]","M-My name is Ruca,
Ruca Milda... sir."
"0005.dat","line","26","1 [スパーダ]","あん？　ミルダってのは　聞き覚えあるな
ひょっとして　おまえイイトコの
ボンボンじゃねェ？","1 [Spada]","I know that name.
Ain’t you some rich kid?"
"0005.dat","line","30","0 [ルカ]","ああ　はい　割と
あ…　でも！
…今は　持ち合わせが…","0 [Ruca]","Relatively, yes... oh but I don’t 
have any money right now...."
"0005.dat","line","35","1 [スパーダ]","バ～カ　金取ったりなんかしねーよ！
ああ～　ビビらせちまって
悪かったな","1 [Spada]","Idiot, I don’t want your money!
Sorry for scaring you."
"0005.dat","line","40","1 [スパーダ]","ナメられると　いけねェから
初対面の野郎には　最初にガツンと
いっとく主義なんだ　オレ","1 [Spada]","I don’t want to be looked down upon,
so it’s kind of a habit of mine to make
a strong first impression."
"0005.dat","line","44","0 [ルカ]","は…　はぁ…","0 [Ruca]","Oh..."
"0005.dat","line","48","1 [スパーダ]","…んで　話は変わるけど
あのコ　結構カワイイじゃん
おまえの彼女か？","1 [Spada]","On that note, ain’t that girl cute?
She your girlfriend?"
"0005.dat","line","52","0 [ルカ]","彼女ぉ！？
ち…　違います！
ただの友だ…　知人です","0 [Ruca]","My g-girlfriend!? Absolutely not, sir!
She’s just my frie-- acquaintance."
"0005.dat","line","56","1 [スパーダ]","なんだよ　ヨソヨソしい言い方だな
知人ってことは　おまえ　それ
他人ってことじゃん","1 [Spada]","What’s with that formal way of speaking?
Ain’t an acquaintance just the same as a stranger?"
"0005.dat","line","60","0 [ルカ]","あ…　でも　そんなには他人でもなくて
え～…　そのぅ　でも彼女が僕を
どう思ってるのか　わかんないし…","0 [Ruca]","Well... not really a stranger, but well...
uhh... I don’t even know what she thinks of me..."
"0005.dat","line","63","1 [スパーダ]","なんだよ　ハッキリしねーヤツだな
でも　まいっか","1 [Spada]","Yo, you gotta speak 
louder man... Well, whatever."
"0005.dat","line","66","1 [スパーダ]","…で　ここに連れて来られたってことは
おまえも異能者なわけ？","1 [Spada]","So, since you’re here and all, you a Deviant?"
"0005.dat","line","69","0 [ルカ]","そ…　そういうことになりますね","0 [Ruca]","So it seems..."
"0005.dat","line","72","1 [スパーダ]","オレはよぉ　街でケンカしちまってな
更生施設にでも　入れられるのかと
思ったら　異能者狩りだってよ","1 [Spada]","You see, I got in a fight in town.
And when I thought I’d got caught by
the juvie, turns out it was the Deviant Hunt."
"0005.dat","line","76","0 [ルカ]","ああ…
ちょうど　あなたが乱闘騒ぎで
捕まるところを　街で見かけましたよ","0 [Ruca]","Oh...  I’ve seen you before! You were the one 
who got captured in town for fighting earlier."
"0005.dat","line","80","1 [スパーダ]","へ？　マジで？
へへッ！！
どうよ　オレ強かったろ？","1 [Spada]","Really?! How was I?
I looked strong, right?"
"0005.dat","line","84","0 [ルカ]","いや～　連行されてるところしか
見てませんから　なんとも…","0 [Ruca]","Well... I just saw you being dragged off, so..."
"0005.dat","line","89","1 [スパーダ]","ああ！？　なんでオレがザコどもを
豪快に　ぶっ飛ばすカッコイイとこ
ちゃんと　見てねーんだよっ！！","1 [Spada]","Huh? Why weren’t you properly watching me
beat the crap out of those weaklings!?"
"0005.dat","line","94","0 [ルカ]","はひぃッ！！　す…　すみません…！！","0 [Ruca]","Ahhh...! S-Sorry!"
"0005.dat","line","98","1 [スパーダ]","…おまえ　いちいち怯えすぎ","1 [Spada]","You get scared by the littlest things, don’t you?"
"0005.dat","line","102","0 [ルカ]","は…　はぁ　すみません…","0 [Ruca]","Sorry...
"
"0005.dat","line","106","1 [スパーダ]","で　いちいち謝りすぎ！
オレには　敬語もいらねェよ！","1 [Spada]","And you apologize for the littlest things!
You don’t have’ta speak so formally, man!"
"0005.dat","line","109","0 [ルカ]","す…　すみませ…
じゃなくって　う…　うん！
よろしく　スパーダ…　さん","0 [Ruca]","Sorr-- I mean, sure!
I’m in your care, Spada... Sir."
"0005.dat","line","112","1 [スパーダ]","さん付けもいらねェよ！
まあ　よろしく頼むわ","1 [Spada]","Ain’t no need to call me “Sir” either!
Anyways, nice to meet you too."
"0006.dat","title","664","","なし","","None"
"0006.dat","speaker","0","","ルカ","","Ruca"
"0006.dat","speaker","1","","チトセ","","Chitose"
"0006.dat","line_speaker","0","","？？？","","???"
"0006.dat","line","0","1 [チトセ]","初めまして　こんにちは","1 [Chitose]","Nice to meet you!"
"0006.dat","line","3","0 [ルカ]","こんにちは
僕　ルカっていいます","0 [Ruca]","Nice to meet you, too! 
I’m called Ruca."
"0006.dat","line_speaker","7","","？？？","","???"
"0006.dat","line","7","1 [チトセ]","私はチトセ…
チトセ・チャルマ　よろしくね
ねえ　あなたも　やっぱり転生者なの？","1 [Chitose]","I’m Chitose, Chitose Cxarma.
Let’s get along well! Say, are 
you also Reincarnators?"
"0006.dat","line","10","0 [ルカ]","うん　そう
えーっと　あなたも転生者？","0 [Ruca]","Yes, yes we are. Uhmm....
Are you also a Reincarnator?"
"0006.dat","line","14","1 [チトセ]","もちろんよ！
ここには　前世の記憶を持つ転生者が
集められてるって　聞いてるわ","1 [Chitose]","Of course! I came here because I heard that 
this place has been gathering Reincarnators 
who remember things about their past life."
"0006.dat","line","17","1 [チトセ]","私　ずっと昔から　探している人がいてね
その人も　きっとどこかで　転生しているはず
そして私と　必ず巡り会う運命なの","1 [Chitose]","I’ve been looking for someone, you see.
I’m sure he was also reincarnated, and 
I believe that fate will reunite us once again."
"0006.dat","line","21","0 [ルカ]","探している人…？","0 [Ruca]","So you’re looking for someone?"
"0006.dat","line","26","1 [チトセ]","そう　だから　教団に入信するつもりなの
だって　教団には転生者が
たくさんいるんでしょ？","1 [Chitose]","Yes, it’s why I came here to join the Church.
You know that the Church has a lot of 
Reincarnators, right?"
"0006.dat","line","29","1 [チトセ]","教団にいれば　いずれ必ず
会えると思うから…　あの人に…","1 [Chitose]","I’m sure that I’ll be able to reunite 
with him if I stay with them."
"0006.dat","line","33","0 [ルカ]","そうなんだ　でも不安じゃない？
教団って　最近よくわからないこと
やってるみたいだし","0 [Ruca]","Ohhh... But aren’t you worried?
It seems that the Church has been
doing some shady stuff recently."
"0006.dat","line","36","1 [チトセ]","…でも　前世の記憶を　みんなで
共有するのって　きっと楽しいと思うわ
あなたにもあるんでしょ？　前世の記憶","1 [Chitose]","Hmm... Still, wouldn’t it be fun if we shared our 
past memories with each other? You remember
your past memories, right?"
"0006.dat","line","39","0 [ルカ]","う…　うん
あんまり　詳しくは
憶えてないんだけどね","0 [Ruca]","Yes...  I don’t remember much though."
"0006.dat","line","43","1 [チトセ]","ねえ　ルカくん
あなたと　一緒に来た女の子
お友達なの？","1 [Chitose]","Say, Ruca, that girl... The one you 
came in with, is she your friend?"
"0006.dat","line","47","0 [ルカ]","まあ　そんなカンジかな","0 [Ruca]","Yeah... something like that."
"0006.dat","line","50","1 [チトセ]","どうしてかな　私
あの子のこと
あんまり好きになれない…　かも","1 [Chitose]","I wonder why... For some reason,
I get the feeling that we won’t get along."
"0006.dat","line","53","0 [ルカ]","どうして？　自分勝手だし　気が強いし
僕の話　あんまり聞いてくれないけど
いい子だよ！　…たぶん","0 [Ruca]","Why? She might be selfish, stubborn, and 
she never even listens to what I say, but 
I’m sure she’s a nice person... Probably."
"0006.dat","line","56","1 [チトセ]","でも彼女　あなたにふさわしくないと思うの…
あ！　ごめんなさい　今のは忘れて！
余計な　お世話よね？","1 [Chitose]","Still, I don’t think she suits you...
Ahh! I’m sorry! Please forget that.
That was rude of me."
"0006.dat","line","61","0 [ルカ]","…………","0 [Ruca]","..."
"0006.dat","line","66","1 [チトセ]","早く出られると　いいわね…
あなたは　いい人だから　ここを出ても
どこかで　また会えると嬉しいな","1 [Chitose]","I hope you can escape soon. After 
all, you’re a kind person. If you do 
escape, I hope we meet again."
"0006.dat","line","70","0 [ルカ]","うん…　そうだね
また会えると　いいね","0 [Ruca]","Yes, I hope we meet again."
"0007.dat","title","665","","なし","","None"
"0007.dat","speaker","0","","ルカ","","Ruca"
"0007.dat","speaker","1","","イリア","","Illia"
"0007.dat","line","0","1 [イリア]","もう落ち着きなさいよ
ジタバタしたって　始まらないでしょ","1 [Illia]","Calm down, no need to 
start kicking up a fuss."
"0007.dat","line","4","1 [イリア]","そっれにしても　運命ってのはあるもんね
イナンナ　アスラ　デュランダルの
３人が　こうも見事にそろうなんてさ","1 [Illia]","Still, to think that destiny does exist.
To think that Inanna, Asura, and Durandal
would be together in a place like this."
"0007.dat","line","7","1 [イリア]","あたし　やっぱりまだ
全然　思い出せてないんだけど
他にも　いずれ出会える人がいるのかしら","1 [Illia]","I still don’t really remember much though,
I wonder if we’ll meet more people like us?"
"0007.dat","line","11","1 [イリア]","ほら　ルカ　運命ってのが　あるんだから
他の誰かと　出会うまで
あたしたち　死にゃしないわよ…　たぶん","1 [Illia]","You know, Ruca? Since destiny’s brought us
all here together, I’m sure we’ll meet even more
people before we die... probably."
"0007.dat","line","15","0 [ルカ]","せっかく　元気づけてくれてるんだから
最後に「たぶん」って付けるの
止めてよ…","0 [Ruca]","I was sort of feeling better until that last part."
"0008.dat","title","666","","なし","","None"
"0008.dat","speaker","0","","ルカ","","Ruca"
"0008.dat","speaker","1","","スパーダ","","Spada"
"0008.dat","line","0","1 [スパーダ]","地獄の激戦区「西の戦場」ねえ
…上等じゃねーか","1 [Spada]","“Hell’s Battlefield: The Western
Front” huh...? Bring it on!"
"0008.dat","line","3","0 [ルカ]","スパーダは　恐くないの？","0 [Ruca]","Aren’t you afraid?"
"0008.dat","line","7","1 [スパーダ]","オレの前世を　誰だと思ってるんだよ
聖剣デュランダルだぜ
戦場を恐いと思ったことは　一度もねえよ","1 [Spada]","Who do you think I was in my past life?
I was the “Sacred Sword Durandal”, y’know.
Fear’s never crossed my mind on a battlefield."
"0008.dat","line","10","1 [スパーダ]","そんなことより問題は　おめェらだよ
ふたりとも　イメージ違いすぎだろ
どこがアスラと　イナンナなんだよ","1 [Spada]","Most importantly, the problem is with you two.
You two are totally different from Asura and Innana."
"0008.dat","line","14","0 [ルカ]","それ　言わないでよ
自分が　一番わかってるんだから…","0 [Ruca]","No need to tell me that. I’m the 
one who knows that the most."
"0008.dat","line","18","1 [スパーダ]","ああ　そう言やァさ…………
あ…　あのよ？
あの言葉な…","1 [Spada]","Oh right... By the way... About 
wh-what you told me before..."
"0008.dat","line","22","0 [ルカ]","ん？　なに？","0 [Ruca]","Hm? What is it?"
"0008.dat","line","25","1 [スパーダ]","「良き友として　永らく共に」って
あの言葉　オレは…　いやデュランダルは
心底　嬉しかったんだぜ　あのとき…","1 [Spada]","“Wherever or whenever, as a friend, we’d 
walk together for all eternity.” At that time, 
hearing that, made me-- no, Durandal happy."
"0008.dat","line","28","0 [ルカ]","…………
う　うん","0 [Ruca]","Y-Yes."
"0008.dat","line","32","1 [スパーダ]","へへッ　転生しちまったとはいえ
おまえに　ちゃんと伝えられて
良かったぜ！","1 [Spada]","Haha, even if this is already our next life,
I’m glad that I was finally able to tell you."
"0008.dat","line","36","1 [スパーダ]","心配すんな　ルカ
おまえは　オレが守ってやる　必ずだ","1 [Spada]","Don’t worry, Ruca, I promise I’ll protect you."
"0008.dat","line","40","0 [ルカ]","うん　ありがと","0 [Ruca]","Thank you..."
"0009.dat","title","667","","なし","","None"
"0009.dat","speaker","0","","ルカ","","Ruca"
"0009.dat","speaker","1","","イリア","","Illia"
"0009.dat","speaker","2","","スパーダ","","Spada"
"0009.dat","speaker","3","","コーダ","","Coda"
"0009.dat","line","0","1 [イリア]","さあ　ここからは戦場ね","1 [Illia]","From here on out, we’ll be on the battlefield."
"0009.dat","line","3","3 [コーダ]","美味いモノはなさそうだな　しかし
つまらなそうな場所だ","3 [Coda]","Doesn’t seem like there is good 
food here. What a boring place."
"0009.dat","line","6","0 [ルカ]","僕　戦争なんてイヤだよ
なんで　僕が戦争なんか…","0 [Ruca]","I don’t like war. Why do I have to go to--"
"0009.dat","line","9","2 [スパーダ]","おい　ビシッとしろォ！
さっきは　チトセ相手に
カッコつけてたじゃねェか","2 [Spada]","Hey, man up! Weren’t you cool in 
front of Chitose earlier?"
"0009.dat","line","14","0 [ルカ]","それはそれ　これはこれだよ
だって…　僕だって　女の子の前じゃ
少しは　いいカッコしたいもの","0 [Ruca]","That has nothing to do with this.
I just wanted to act cool in front
of her."
"0009.dat","line","19","2 [スパーダ]","気持ちはわかるけどよ
ま…　とにかく自信持てよ
おまえは　あのアスラなんだからよ","2 [Spada]","I know what you feel, but you gotta have
more confidence in yourself, man.
After all, you were Asura."
"0009.dat","line","24","2 [スパーダ]","魔物相手に　立派に戦ってたんだろ？
おめェは　強ェえんだよッ！
せめて　そう思い込め！","2 [Spada]","He’s a brave warrior who fought hoards of
monsters, right? You’re strong!
At least believe in yourself!"
"0009.dat","line","27","0 [ルカ]","そ…　そうかな…　うん
そうだよね
僕はアスラ…　大丈夫大丈夫…","0 [Ruca]","Is th-that so...? Y-You’re right!
I’m Asura... I’ll be fine..."
"0009.dat","line","32","2 [スパーダ]","いざとなりゃ　おめェはオレが守る
忘れたか？　オレは何度も
おまえの窮地を　救ったろ？","2 [Spada]","I’ll be here to save you if something happens.
Just like always."
"0009.dat","line","37","0 [ルカ]","ありがとう　スパーダ
…よし　僕　頑張るよ！
さあ　行こう！","0 [Ruca]","Thanks, Spada...
I’ll try my best!
Let’s go!"
"0010.dat","title","668","","なし","","None"
"0010.dat","speaker","0","","ルカ","","Ruca"
"0010.dat","speaker","1","","イリア","","Illia"
"0010.dat","speaker","2","","スパーダ","","Spada"
"0010.dat","speaker","3","","コーダ","","Coda"
"0010.dat","line","0","2 [スパーダ]","…で　これから　どうするよ？
異能者捕縛適応法で　捕まった以上
家には　帰れないしな","2 [Spada]","So what next? We can’t go back home
unless we risk getting caught by the 
Deviant Reformation Act."
"0010.dat","line","3","0 [ルカ]","その上　軍の脱走者だもんね
父さんと母さんには
迷惑かけられないし…","0 [Ruca]","And on top of that, we’re deserters.
I can’t go back, I’ll just end up
bothering my mom and dad..."
"0010.dat","line","6","1 [イリア]","じゃあ　当初の予定通り
聖都ナーオスに　向かいましょうよ
他に手がかりもないしさ","1 [Illia]","Then how about we head to Naohs
like how we originally planned? 
It’s not like we have anywhere else to go."
"0010.dat","line","9","2 [スパーダ]","ああ　ナーオスには
転生者がいるって　話らしいな
ここから　どういけばいいんだ？","2 [Spada]","Oh... I heard there’s a Reincarnator in Naohs.
How are we going to get there though?"
"0010.dat","line","12","0 [ルカ]","ここから南東の
峠を越えた先だと　思うけど…","0 [Ruca]","I think it’s just past the pass in the southeast."
"0010.dat","line","16","1 [イリア]","あらあら　さすがルカさんねぇ～
物知りで　いらっしゃること","1 [Illia]","Oh my, oh my, as expected of Sir Ruca!
Mr. Walking Dictionary right here!"
"0010.dat","line","19","0 [ルカ]","…………","0 [Ruca]","..."
"0010.dat","line","23","2 [スパーダ]","イリア　いい加減にしろよ","2 [Spada]","Illia, cut it out."
"0010.dat","line","27","1 [イリア]","…フーンだ
いーわよ　もう水に流したげる","1 [Illia]","Hmph! Fine, I’ll forgive you."
"0010.dat","line","30","3 [コーダ]","ルカ
イリアの優しさに感謝しろ　しかし","3 [Coda]","Ruca, you better thank Illia
for her kindness!"
"0010.dat","line","33","0 [ルカ]","あ…　ありがとう","0 [Ruca]","Th-thank you."
"0010.dat","line","37","1 [イリア]","じゃ　ルカ　スパーダ
行きましょ","1 [Illia]","Let’s go, Ruca, Spada."
"0010.dat","line","40","0 [ルカ]","うん…
…………
……………","0 [Ruca]","Sure..."
"0010.dat","line","47","0 [ルカ]","ずっと憧れていたアスラは　僕だった
前世からの仲間にも　出会えた
でも　いいことばかりじゃない","0 [Ruca]","It turns out that I was Asura, someone I look 
up to. I also met allies from my past life. But 
everything’s not really sunshine and rainbows."
"0010.dat","line","50","0 [ルカ]","前世での敵は　今でも僕を恨んでるし
前世の記憶や　異能の力は　なんだか
悪いことみたいな　扱いになってるし…","0 [Ruca]","My enemies from my past life still hate me, 
and it seems that these past memories 
and powers are getting harder to handle..."
"0010.dat","line","53","0 [ルカ]","こんなことになるなんて…　ハァ…
やっぱり　家に帰りたいかも…","0 [Ruca]","To think it would end up like this...
I just want to go home."
"0010.dat","line","59","1 [イリア]","ルカッ！！　ボ～ッとしてないで
ほら　早くナーオスに行って
なんか美味しいもんでも　食べましょ！","1 [Illia]","Ruca, stop daydreaming and let’s 
go get something to eat in Naohs!"
"0010.dat","line","65","0 [ルカ]","…………","0 [Ruca]","..."
"0011.dat","title","669","","なし","","None"
"0011.dat","speaker","0","","ルカ","","Ruca"
"0011.dat","speaker","1","","イリア","","Illia"
"0011.dat","speaker","2","","スパーダ","","Spada"
"0011.dat","line","0","2 [スパーダ]","へえ
ここがレグヌム峠か…","2 [Spada]","Oh... So this is Regnum pass..."
"0011.dat","line","3","0 [ルカ]","うん　ここを越えて
少し行くと　聖都ナーオスのはず","0 [Ruca]","Yeah, Naohs is just
a ways away after this."
"0011.dat","line","10","1 [イリア]","ほら　ムダ話してないで
さっさと越えちゃいましょ","1 [Illia]","Stop talking about pointless stuff.
Let’s hurry up and cross this."
"0012.dat","title","670","","なし","","None"
"0012.dat","speaker","0","","ルカ","","Ruca"
